subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
15,0.12863279556934504, 0.11690210887336865, 0.12712548054475112, 0.1183888854417504, 0.11766231053159909, 0.12021365255323582, 0.10391728929852422, 0.12775581980878367, 0.087355816487712484, 0.12077121030968171, 0.07017521282345876, 0.11397954747850718
16,0.12308342728499473, 0.12624533681953054, 0.12275872769089227, 0.12748632452860831, 0.1299807744768556, 0.12991289638763784, 0.1269231223232456, 0.12583139828139259, 0.09930520867920814, 0.089666319218456553, 0.11626700146068533, 0.11129733311657182
17,0.034422945998195988, 0.05513885504369883, 0.06646260523707466, 0.10861585860582847, 0.097347852881286029, 0.08512498793486116, 0.084043401189890482, 0.068272393133423773, 0.090651448895303008, 0.11184139724350622, 0.045539531654906054, 0.052712057482015941
18,0.078051178541454894, 0.11751998186593129, 0.062109575937134016, 0.033970528391131634, 0.090675099652655591, 0.14052193554429399, 0.11296842680745797, 0.13605928334884637, 0.12845472408936767, 0.12698319866699626, 0.10526839996394426, 0.03793135305332887
19,0.0076282463840138173, 0.11379335427456116, 0.077761061975520948, 0.13199791047252921, 0.073191683712890837, 0.044604477728916979, 0.029826125246666464, -0.0013212451068276988, 0.035564115877426833, 0.1076360330111398, 0.050076066223953476, 0.098608795551965792
20,0.11958261866321368, 0.098136817408910629, 0.11055708971394086, 0.10935856909203193, 0.11268560556255917, 0.096503702283678064, 0.12160911914904382, 0.10442524414603818, 0.11804220890868883, 0.10232831572483761, 0.11372460543129786, 0.10739271089981281
21,0.032926638919264617, 0.11000334250914288, 0.11132171699190177, 0.025847452012019517, 0.12851649266980733, 0.12789559678325679, 0.090657072245949405, 0.10517148068609149, 0.1160222101136328, 0.11229770374655519, 0.11441295722566971, 0.12850715907670698
22,0.12838657890149038, 0.13353128001120576, 0.13062949129940513, 0.134104693178521, 0.08416321425718841, 0.13638639925571197, 0.10592029956641168, 0.13074722930939053, 0.11941259003339057, 0.13380152288442881, 0.12732016937709653, 0.13027015736049694
23,0.035294788110322321, 0.095728541403461265, 0.075751417088759182, 0.096150576793461159, 0.073627630685456108, 0.10797586908665399, 0.096584829897328098, 0.10772291224547013, 0.13234918514929284, 0.12158475525230085, 0.12572287362456788, 0.12806543927196085
24,0.13103834597260641, 0.10717865870197725, 0.12559741248583231, 0.12659494332576776, 0.12323530801576076, 0.11234514870285808, 0.12765344870987383, 0.12625445008396891, 0.11710544833133274, 0.11648309245264299, 0.12059546276496717, 0.11798929574658888
25,0.12784900847792277, 0.12629528665803089, 0.12509108424625276, 0.12271417622367022, 0.12823847562532448, 0.12724005308229286, 0.12686807578826614, 0.1283796842595146, 0.1244913711316792, 0.11355043446902557, 0.12181291681457669, 0.10979212314849414
26,0.13266412942927766, 0.12860723932826884, 0.06854933948425089, 0.13891861050027665, 0.0994658481767874, 0.13178217075176257, 0.13881926970872813, 0.13094840895569734, 0.13174078568872186, 0.13415903332068108, 0.10015052205971653, 0.13537952619425414
