subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
15,0.12726260794831093, 0.10341088147576893, 0.12534466250240442, 0.10888704995729234, 0.1313495036473897, 0.12872202498418819, 0.12361998897550819, 0.13013169092937366, 0.11411546406696406, 0.12453021811169455, 0.11419064249282554, 0.12617164717830404
16,0.10706249340250475, 0.1244281883575822, 0.09211656631920194, 0.129577840569362, 0.1254018993725457, 0.12538566248392241, 0.12409042375608986, 0.12350457723469307, 0.074959495633882642, 0.089756652158097375, 0.11258620819446727, 0.10740321119685572
17,0.052676361672602187, 0.10219849514329184, 0.061497719325091425, 0.11229857009082148, 0.098317614950631141, 0.088871041335156373, 0.11166051162876715, 0.094711210553751285, 0.076664933123485837, 0.1283414513823094, 0.072025396572266934, 0.066325216571192155
18,0.1117618423366542, 0.12721840341507343, 0.045716846069255725, 0.094424912388427887, 0.10772644874861108, 0.13181837460341161, 0.10194092568246309, 0.13487049566571935, 0.12661764408966611, 0.11929143233983144, 0.085747001423357991, 0.057056439657025684
19,0.07266243570027317, 0.10697168383699114, 0.1003036917572534, 0.12809503583925189, 0.11646703095579672, 0.096175106822748255, 0.053342075296840354, 0.050456466035814926, 0.043300589959746075, 0.11075083841827188, 0.026043843610196765, 0.11535535948556908
20,0.098672089499409518, 0.086760022423649594, 0.10163117096553972, 0.092903381078584479, 0.096360963817705036, 0.082137800334374678, 0.093870863826538767, 0.091783916078967659, 0.10146305742969987, 0.08658325524786864, 0.091017533962563596, 0.08990763815842194
21,0.092650416042999201, 0.13584848761751769, 0.11917473167767975, 0.11098664064577426, 0.12356193217981767, 0.11906876910371057, 0.11449559970612828, 0.13283680740587331, 0.13071752143235027, 0.13388786373819214, 0.13134056349693152, 0.13287662512637322
22,0.12564468154546693, 0.13368942447018395, 0.12749839291622761, 0.13552170904153407, 0.10840803746910753, 0.13776330517524688, 0.11402028776757024, 0.13121304933653224, 0.12712394819207576, 0.13088438081396928, 0.12973139825327309, 0.13160231897321922
23,0.038659351636498661, 0.080625847687410351, 0.11985039569030718, 0.093904258114829303, 0.11928260167843778, 0.12696149465809523, 0.10340548386650635, 0.1243431834711492, 0.12855976555668772, 0.11695588056191911, 0.12449050797178102, 0.12860699335505629
24,0.13238503235548213, 0.10745391709466898, 0.12371744539475749, 0.12364776944155546, 0.12491167514723124, 0.1245668477228621, 0.12605201089054358, 0.11872914915536627, 0.11094250056084343, 0.10971438257600849, 0.12048466326298571, 0.097009238449317248
25,0.11094470643379614, 0.11384327021260905, 0.1146978583122247, 0.11191774185259122, 0.11782658479530687, 0.11273934037439735, 0.11510430179040061, 0.11803171967225187, 0.11585881625193516, 0.11408273262362513, 0.11642161443990168, 0.1137536947873402
26,0.12419686771249268, 0.13775748147216269, 0.096748698939476366, 0.14203956382497399, 0.1232615636737833, 0.11717647094131829, 0.11862881615390825, 0.13806567134310005, 0.13084009786994599, 0.12854782905088871, 0.11533335987136056, 0.13913531391813203
